"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5243, 2.083330000000000e-02, 5.000000000000000e-01, 1.250000000000000e+00, 8.855043533392389e-01, 2.926285352119322e-01, -3.354097339555909e-02, -4.960018155235342e-04, 2.252731203135590e+00, 8.814976137175051e-01, 9.954751892448364e-01, 2.817614540391380e-01, -1.880990258452301e+00
5244, 5.041666161425947e-02, 5.000000000000000e-01, 3.479750695994112e-01, 7.459096294517013e-01, 3.208217892909433e-01, -2.770700997476880e-02, 1.157045718034565e-02, 1.907114915979144e+00, 7.350066222498561e-01, 9.853829381317152e-01, 3.677941846616932e-01, -4.206244091272127e+00
5245, 5.119248141459019e-02, 5.000000000000000e-01, 3.931033326231070e-01, 7.487216388006170e-01, 3.211652480812656e-01, -2.491380451919927e-02, 1.053260470036239e-03, 1.901746824333998e+00, 7.329797703204401e-01, 9.789750053098590e-01, 3.675051685280933e-01, -4.238416344120000e+00
5246, 3.378728254684468e-01, 5.000000000000000e-01, 4.370208010380703e-01, 9.592753903743939e-01, 4.245466382982913e-01, 6.398818896664733e-03, 1.738452887460195e-02, 2.431141669074031e+00, 9.348067880163418e-01, 9.744926195297243e-01, 3.792642012699671e-01, -1.034812888629496e+00
5247, 3.945998777938703e-01, 5.000000000000000e-01, 4.383043311599672e-01, 8.846757322516223e-01, 3.731964656577427e-01, -3.643604219069602e-03, -1.048377295712886e-02, 2.216546367782127e+00, 8.551044494057135e-01, 9.665738736037829e-01, 3.627971274957635e-01, -2.299929374512485e+00
5248, 3.847483083146123e-01, 5.000000000000000e-01, 4.818786269110271e-01, 8.971473346848734e-01, 3.761455271661400e-01, -1.254548956480425e-03, -2.168668095216122e-03, 2.248333375952409e+00, 8.677907644196097e-01, 9.672778716156192e-01, 3.602982229244704e-01, -2.098559294926832e+00
5249, 1.582947384364524e-01, 5.000000000000000e-01, 6.692754321548244e-01, 9.502648539425681e-01, 2.879130576908218e-01, 1.165257606080975e-02, 6.547518793566472e-03, 2.401053851960965e+00, 9.429374507487664e-01, 9.922890937580184e-01, 2.573363039143282e-01, -9.057547500195806e-01
5250, 1.798862374597880e-01, 5.000000000000000e-01, 7.236043884775776e-01, 9.584676796909407e-01, 2.999281351503986e-01, 1.100763790181022e-02, 1.867489788731982e-03, 2.425506227744776e+00, 9.514055000727918e-01, 9.926318020233860e-01, 2.656331806558980e-01, -7.713412686858450e-01
5251, 1.066581542788488e-01, 5.000000000000000e-01, 7.065071640031726e-01, 9.395408393215926e-01, 2.353613797384137e-01, 1.877269583219707e-02, 2.671729380536578e-02, 2.375317721226228e+00, 9.381081948764084e-01, 9.984751653305264e-01, 2.139078708465521e-01, -9.824096051363751e-01
5252, 1.061012127488513e-01, 5.000000000000000e-01, 5.452674108000297e-01, 9.208948379144369e-01, 2.353448438973630e-01, 8.756960364405641e-04, -7.706270009068881e-03, 2.331248271995982e+00, 9.204572499861948e-01, 9.995248231283032e-01, 2.161571197820624e-01, -1.262583333552464e+00
